	num_ancestors	num_children	a/(a+c)	frecuencia relativa	c/(a+c)	exp(-c)	log(1+a)
HP:0012444	7.0	20.0	0.25925925925925924	0.1535489119381737	0.7407407407407407	2.061153622438558e-09	0.9030899869919435
HP:0012446	12.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.1139433523068367
HP:0012447	4.0	46.0	0.08	0.1246695139312589	0.92	1.0530617357553812e-20	0.6989700043360189
HP:0012448	5.0	2.0	0.7142857142857143	0.05226764287166972	0.2857142857142857	0.13533528323661267	0.7781512503836436
HP:0012449	14.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.1760912590556813
HP:0012450	6.0	0.0	1.0	0.02094773235712833	0.0	1.0	0.8450980400142568
HP:0012451	6.0	0.0	1.0	NaN	0.0	1.0	0.8450980400142568
HP:0012452	7.0	0.0	1.0	0.003050640634533252	0.0	1.0	0.9030899869919435
HP:0012453	22.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.3617278360175928
HP:0012454	22.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.3617278360175928
HP:0012456	14.0	3.0	0.8235294117647058	NaN	0.17647058823529413	0.04978706836786394	1.1760912590556813
HP:0012457	15.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.2041199826559248
HP:0012458	15.0	0.0	1.0	NaN	0.0	1.0	1.2041199826559248
HP:0012459	5.0	0.0	1.0	NaN	0.0	1.0	0.7781512503836436
HP:0012460	10.0	0.0	1.0	NaN	0.0	1.0	1.0413926851582251
HP:0012461	7.0	0.0	1.0	NaN	0.0	1.0	0.9030899869919435
HP:0012462	8.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.9542425094393249
HP:0012463	9.0	0.0	1.0	0.002033760423022168	0.0	1.0	1.0
HP:0012464	9.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.0
HP:0012465	9.0	0.0	1.0	0.0024405125076266015	0.0	1.0	1.0
HP:0012466	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012467	7.0	0.0	1.0	NaN	0.0	1.0	0.9030899869919435
HP:0012468	6.0	3.0	0.6666666666666666	0.0008135041692088672	0.3333333333333333	0.04978706836786394	0.8450980400142568
HP:0012469	7.0	0.0	1.0	0.027455765710799267	0.0	1.0	0.9030899869919435
HP:0012470	6.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.8450980400142568
HP:0012471	9.0	2.0	0.8181818181818182	0.0545047793369941	0.18181818181818182	0.13533528323661267	1.0
HP:0012472	9.0	2.0	0.8181818181818182	0.03376042302216799	0.18181818181818182	0.13533528323661267	1.0
HP:0012473	10.0	0.0	1.0	0.003050640634533252	0.0	1.0	1.0413926851582251
HP:0012474	9.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.0
HP:0012475	15.0	21.0	0.4166666666666667	NaN	0.5833333333333334	7.582560427911907e-10	1.2041199826559248
HP:0012476	16.0	0.0	1.0	0.0014236322961155175	0.0	1.0	1.2304489213782739
HP:0012477	9.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.0
HP:0012478	13.0	0.0	1.0	0.001016880211511084	0.0	1.0	1.146128035678238
HP:0012479	13.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.146128035678238
HP:0012480	11.0	5.0	0.6875	0.0014236322961155175	0.3125	0.006737946999085467	1.0791812460476249
HP:0012481	12.0	1.0	0.9230769230769231	NaN	0.07692307692307693	0.3678794411714424	1.1139433523068367
HP:0012482	13.0	0.0	1.0	NaN	0.0	1.0	1.146128035678238
HP:0012483	6.0	5.0	0.5454545454545454	NaN	0.45454545454545453	0.006737946999085467	0.8450980400142568
HP:0012484	6.0	6.0	0.5	0.0016270083384177345	0.5	0.0024787521766663585	0.8450980400142568
HP:0012485	5.0	0.0	1.0	NaN	0.0	1.0	0.7781512503836436
HP:0012486	11.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0791812460476249
HP:0012487	20.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.3222192947339193
HP:0012488	10.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0413926851582251
HP:0012489	10.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0413926851582251
HP:0012490	9.0	0.0	1.0	0.005491153142159854	0.0	1.0	1.0
HP:0012491	5.0	0.0	1.0	NaN	0.0	1.0	0.7781512503836436
HP:0012492	14.0	3.0	0.8235294117647058	0.0004067520846044336	0.17647058823529413	0.04978706836786394	1.1760912590556813
HP:0012493	15.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.2041199826559248
HP:0012494	15.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.2041199826559248
HP:0012495	15.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.2041199826559248
HP:0012496	9.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0
HP:0012497	9.0	0.0	1.0	0.0008135041692088672	0.0	1.0	1.0
HP:0012498	4.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.6989700043360189
HP:0012499	11.0	0.0	1.0	0.004067520846044336	0.0	1.0	1.0791812460476249
HP:0012500	7.0	0.0	1.0	0.0006101281269066504	0.0	1.0	0.9030899869919435
HP:0012501	7.0	6.0	0.5384615384615384	0.003254016676835469	0.46153846153846156	0.0024787521766663585	0.9030899869919435
HP:0012502	10.0	1.0	0.9090909090909091	0.0008135041692088672	0.09090909090909091	0.3678794411714424	1.0413926851582251
HP:0012503	8.0	58.0	0.12121212121212122	0.07280862314419362	0.8787878787878788	6.47023492564546e-26	0.9542425094393249
HP:0012504	9.0	3.0	0.75	0.00569452918446207	0.25	0.04978706836786394	1.0
HP:0012505	10.0	0.0	1.0	0.002847264592231035	0.0	1.0	1.0413926851582251
HP:0012506	10.0	1.0	0.9090909090909091	0.0026438885499288182	0.09090909090909091	0.3678794411714424	1.0413926851582251
HP:0012507	13.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.146128035678238
HP:0012508	5.0	0.0	1.0	0.0034573927191376857	0.0	1.0	0.7781512503836436
HP:0012509	5.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.7781512503836436
HP:0012510	6.0	0.0	1.0	0.0026438885499288182	0.0	1.0	0.8450980400142568
HP:0012511	9.0	1.0	0.9	0.0012202562538133007	0.1	0.3678794411714424	1.0
HP:0012512	9.0	1.0	0.9	0.003050640634533252	0.1	0.3678794411714424	1.0
HP:0012513	8.0	4.0	0.6666666666666666	0.0016270083384177345	0.3333333333333333	0.01831563888873418	0.9542425094393249
